delivery_id,date,origin_region,destination_region,service_type,scheduled_time,actual_time,delay_minutes,weight_lbs,customer_id,driver_id,distance_miles,revenue,cost,on_time,profit_margin
DEL-1000000,2023-08-19,Southeast,Southeast,LTL,2023-08-19 15:00:00,2023-08-19 15:04:00,4,337.04051293439875,CUST-10248,DRV-197,146.02627539705048,121.49406075968757,91.56142964162876,True,0.24637114712351954
DEL-1000001,2024-12-01,Southwest,Northeast,LTL,2024-12-01 13:00:00,2024-12-01 12:48:00,-12,361.92030862272225,CUST-10443,DRV-498,52.955342311291126,1032.830222023389,779.9979380863327,True,0.2447955903553438
DEL-1000002,2023-06-08,Southwest,West,LTL,2023-06-08 14:00:00,2023-06-08 13:47:00,-13,254.5852461019256,CUST-10405,DRV-218,83.47142907466255,1086.0308543352676,902.56687723252,True,0.1689307227049652
DEL-1000003,2024-11-28,West,Southwest,FTL,2024-11-28 14:00:00,2024-11-28 13:50:00,-10,31695.301535110168,CUST-10357,DRV-592,114.71123350864617,1235.8911345397933,983.6274089574288,True,0.204114843558854
DEL-1000004,2024-09-09,Northeast,Northeast,LTL,2024-09-09 16:00:00,2024-09-09 16:03:00,3,99.18131249397902,CUST-10462,DRV-332,164.264253038563,204.7281188048623,156.15703203705564,True,0.23724677905189198
DEL-1000005,2024-06-13,West,Southwest,Expedited,2024-06-13 07:00:00,2024-06-13 07:34:00,34,24.725035904306182,CUST-10226,DRV-396,246.9395230305598,4479.582014571151,3803.397028610674,False,0.15094823217009704
DEL-1000006,2024-02-16,Southwest,Southwest,LTL,2024-02-16 15:00:00,2024-02-16 15:02:00,2,100.46414600513366,CUST-10241,DRV-675,118.64319417120659,615.6871236793042,500.5669834340262,True,0.1869783138509182
DEL-1000007,2023-04-26,Northwest,West,White Glove,2023-04-26 13:00:00,2023-04-26 13:21:00,21,57.38442912343623,CUST-10391,DRV-347,866.7165308208307,370.50021368010067,257.77886030252046,False,0.3042409942438163
DEL-1000008,2024-11-10,Midwest,Southwest,White Glove,2024-11-10 13:00:00,2024-11-10 12:46:00,-14,45.23229304375825,CUST-10428,DRV-204,147.60821209970808,752.5082179263578,516.2420042997657,True,0.3139716058884472
DEL-1000009,2023-02-12,West,Northeast,LTL,2023-02-12 06:00:00,2023-02-12 06:16:00,16,690.4004514889549,CUST-10204,DRV-903,230.49180405354093,545.3067758131809,383.2112799321138,False,0.29725560559804987
