vehicle_id,date,region,service_type,miles_driven,fuel_consumed,load_capacity_used,driver_id,on_time_deliveries,total_deliveries,on_time_rate
VH-8522,2023-04-13,Northeast,Freight Management,533.905157742153,77.91216535264458,82.55446497805598,DRV-717,5,6,0.8333333333333334
VH-5784,2024-03-11,Northeast,Distribution Center Management,519.3095606068222,75.0529724223503,77.59856779400157,DRV-379,6,10,0.6
VH-2232,2023-09-28,Midwest,Freight Management,556.2962370812556,62.08985262615586,75.54608167221782,DRV-163,6,7,0.8571428571428571
VH-9808,2023-04-17,West,Fleet Maintenance,455.5974460404149,61.96431551670218,81.73338269434832,DRV-969,7,9,0.7777777777777778
VH-9338,2023-03-13,West,Distribution Center Management,291.9255643617101,40.64567130507858,94.74609746836296,DRV-527,4,6,0.6666666666666666
VH-8446,2024-12-01,Southwest,Dedicated Contract Carriage,436.7846784742502,67.76498667732675,71.52828781135854,DRV-369,6,7,0.8571428571428571
VH-5616,2023-01-21,Northeast,Fleet Maintenance,538.9636553755336,89.52892610492391,86.48276537040041,DRV-258,9,12,0.75
VH-5725,2024-09-06,Midwest,Freight Management,419.6194381889334,47.893753972626094,75.2681283731627,DRV-153,4,8,0.5
VH-4677,2023-05-02,Southeast,Transportation Management,449.42920397269944,70.4019963612967,51.44242722579712,DRV-232,6,12,0.5
VH-7287,2024-04-11,Southeast,Transportation Management,453.6063744075633,51.50805867331083,70.89512850385262,DRV-199,8,9,0.8888888888888888
VH-9480,2023-08-03,Southwest,Transportation Management,387.35911824143096,50.06195792943226,76.56069009541923,DRV-853,7,9,0.7777777777777778
VH-2409,2023-11-27,Southwest,Freight Management,352.33090351455485,51.4803897065407,61.76929876942945,DRV-385,6,8,0.75
VH-9205,2024-04-03,Northeast,Supply Chain Solutions,703.005056859844,113.10175897185769,63.92518509029949,DRV-286,3,6,0.5
VH-1256,2023-03-29,Northeast,Fleet Maintenance,637.0320052840148,84.3155314015312,71.39395932209567,DRV-305,4,5,0.8
VH-2721,2024-01-08,Southeast,Fleet Maintenance,578.4170804024818,65.55441241650635,64.32887433295299,DRV-738,6,8,0.75
VH-2423,2023-04-10,Southeast,Distribution Center Management,499.80373138443815,62.77125656964986,66.51993879676027,DRV-856,7,9,0.7777777777777778
VH-5953,2024-10-25,Southeast,Fleet Maintenance,329.43592729220296,52.81330753644882,75.6678849753775,DRV-645,7,8,0.875
VH-3990,2023-05-11,Southeast,Fleet Maintenance,556.4762604874184,62.64217768817488,39.44004909982973,DRV-924,10,11,0.9090909090909091
VH-2195,2024-10-23,West,Distribution Center Management,583.8371491650714,87.28007524448184,64.7660065432866,DRV-343,5,9,0.5555555555555556
VH-5559,2023-11-05,Northeast,Fleet Maintenance,408.6629835803097,56.7214762194461,62.481349943929146,DRV-740,8,13,0.6153846153846154
VH-5365,2023-12-10,Northeast,Fleet Maintenance,321.87592066417426,41.93691728751187,92.01144382085009,DRV-461,4,7,0.5714285714285714
VH-2244,2024-05-06,Southeast,Dedicated Contract Carriage,501.23038515958956,81.20721503242397,84.97031683083173,DRV-676,10,12,0.8333333333333334
VH-7766,2024-02-18,Midwest,Freight Management,578.1497636480557,69.780472281091,52.329274082968894,DRV-382,11,13,0.8461538461538461
VH-6302,2024-01-21,Southeast,Distribution Center Management,373.1952628264497,56.060853855213225,72.70561554345082,DRV-539,8,10,0.8
VH-2306,2023-07-11,Northwest,Dedicated Contract Carriage,513.4451560742846,57.214442941842194,74.67485441957045,DRV-878,11,13,0.8461538461538461
VH-3402,2023-10-04,Southwest,Supply Chain Solutions,341.1072051984646,53.33541285994394,33.275844980123026,DRV-303,3,4,0.75
VH-1496,2023-06-10,Northwest,Distribution Center Management,313.59847285008414,40.89480626243114,81.28676279026259,DRV-746,6,8,0.75
VH-4399,2024-04-04,Midwest,Freight Management,474.58401041278574,55.934590413833185,69.49596237253319,DRV-376,7,8,0.875
VH-1909,2023-11-10,Southwest,Fleet Maintenance,352.27347339186963,48.92264107561983,54.56432766503174,DRV-712,3,4,0.75
VH-1372,2023-01-22,Midwest,Fleet Maintenance,501.61031195363216,59.88362698857979,70.83834015398341,DRV-580,7,9,0.7777777777777778
VH-7236,2023-09-10,Southwest,Dedicated Contract Carriage,256.14797337139765,31.127456086423997,44.56774033838343,DRV-664,5,7,0.7142857142857143
VH-2344,2024-07-14,Southeast,Dedicated Contract Carriage,347.15597022176047,41.25110444412566,79.01216683690225,DRV-769,1,2,0.5
VH-9515,2024-04-19,Southeast,Supply Chain Solutions,573.4926392246853,70.68470447879609,75.10672497942117,DRV-926,5,6,0.8333333333333334
VH-3431,2023-02-28,Midwest,Supply Chain Solutions,533.1018370092365,66.97892024258987,36.001117433999354,DRV-258,4,5,0.8
VH-5670,2024-05-25,Southwest,Freight Management,500.2848758473344,66.99556404810764,63.069836029579164,DRV-881,2,3,0.6666666666666666
VH-3784,2024-11-12,West,Fleet Maintenance,396.54219990236857,59.883628034521095,77.26054283689945,DRV-834,7,10,0.7
VH-2695,2024-04-20,Midwest,Transportation Management,451.6451720761551,64.1863147715639,82.40907497425493,DRV-159,5,6,0.8333333333333334
VH-2907,2024-11-30,Midwest,Supply Chain Solutions,423.0287140838535,62.84298971990215,38.290396526307404,DRV-662,9,11,0.8181818181818182
VH-5814,2023-07-09,Northwest,Fleet Maintenance,730.052956875315,89.16367135890522,77.89618260173827,DRV-710,7,10,0.7
VH-1780,2024-11-17,Northeast,Supply Chain Solutions,487.9722494200573,65.40733492812632,86.02978171525335,DRV-257,3,6,0.5
VH-2019,2024-07-16,Midwest,Distribution Center Management,358.0069053036018,50.52896285953483,71.10277194214684,DRV-296,6,7,0.8571428571428571
