maintenance_id,vehicle_id,date,maintenance_type,cost,downtime_hours,parts_replaced,mileage_at_service,technician_id,warranty_covered
MNT-100000,VH-5282,2023-12-22,Preventive,544.2399964140653,3.5498604476463687,"Brakes,Engine,Oil Change",49272,TECH-170,True
MNT-100001,VH-7929,2023-10-25,Preventive,483.299260980556,3.437385583180913,Oil Change,381648,TECH-167,False
MNT-100002,VH-3817,2024-07-22,Emergency,2599.5603012084507,1.0,"Brakes,Electrical",301978,TECH-143,True
MNT-100003,VH-7311,2023-04-07,Scheduled,259.2991811878178,1.0,"Engine,Tires,Electrical",292818,TECH-183,False
MNT-100004,VH-6346,2023-03-20,Preventive,580.1671421330017,1.0,Electrical,263227,TECH-105,False
MNT-100005,VH-1716,2023-11-07,Preventive,514.2430520846032,6.818641609811649,"Transmission,Brakes,Electrical",230520,TECH-101,False
MNT-100006,VH-1789,2024-08-23,Corrective,882.0945185401913,10.249298562755127,"Brakes,Oil Change,Electrical",318400,TECH-160,False
MNT-100007,VH-9522,2024-12-22,Preventive,566.3199055398326,2.0228819579794104,"HVAC,Tires",459577,TECH-126,True
MNT-100008,VH-3214,2024-10-28,Scheduled,260.5700212946145,1.3393446636451578,HVAC,489897,TECH-112,False
MNT-100009,VH-9394,2024-10-22,Emergency,2331.214622939995,11.397017621441695,"Engine,HVAC,Electrical",436105,TECH-148,True
MNT-100010,VH-7688,2023-09-09,Scheduled,273.7813832311241,1.6441890873066747,Electrical,342758,TECH-196,False
MNT-100011,VH-9029,2024-12-12,Preventive,306.57172606129757,4.41898632049856,Electrical,377135,TECH-113,False
MNT-100012,VH-1712,2024-05-22,Preventive,498.9552407072178,3.610443151221241,Brakes,327014,TECH-132,False
MNT-100013,VH-5868,2023-01-12,Corrective,1305.4182721537886,5.238796033568692,Transmission,170856,TECH-125,True
MNT-100014,VH-9152,2023-06-17,Corrective,1210.5686626388015,1.8491809372965173,"Brakes,Tires",98520,TECH-166,True
MNT-100015,VH-3450,2024-02-04,Preventive,503.13753689269123,1.0,"HVAC,Suspension,Transmission",253372,TECH-143,True
MNT-100016,VH-5360,2024-08-07,Preventive,347.40385187269874,1.0,Brakes,81060,TECH-154,False
MNT-100017,VH-9682,2024-08-21,Corrective,1687.4732421111746,9.28036779787067,"Electrical,Transmission,Engine",277397,TECH-126,False
MNT-100018,VH-4057,2024-01-28,Preventive,430.62797891563764,3.123265644071082,Transmission,252657,TECH-195,False
MNT-100019,VH-8532,2023-02-18,Corrective,1689.1955825357888,26.63519484643081,"Electrical,Tires",14168,TECH-119,False
MNT-100020,VH-3473,2023-06-14,Emergency,293.07468674450274,16.694011702355166,Tires,495098,TECH-108,True
MNT-100021,VH-2915,2023-02-07,Preventive,554.8482307002198,8.318312479830682,"HVAC,Suspension,Engine",57363,TECH-131,True
MNT-100022,VH-1620,2023-03-28,Preventive,401.2351488579514,4.339982032710856,Engine,177349,TECH-139,True
MNT-100023,VH-6985,2023-11-11,Scheduled,335.28066854436526,1.4203407526093714,"Brakes,Suspension",100093,TECH-148,True
MNT-100024,VH-1468,2024-11-05,Emergency,1714.5570842139132,1.2282109039159033,"Engine,Electrical",199887,TECH-147,True
MNT-100025,VH-2506,2024-02-26,Preventive,543.8526077675835,3.676604025324461,Engine,393682,TECH-102,False
MNT-100026,VH-5547,2024-09-23,Corrective,2071.6284022001296,1.0,"Transmission,Tires,Oil Change",216864,TECH-100,False
MNT-100027,VH-1468,2024-12-27,Scheduled,396.7674858463405,9.767605649767946,"Tires,Transmission,Engine",120890,TECH-122,False
MNT-100028,VH-2690,2024-11-13,Emergency,2284.064414329171,4.142649336616017,Engine,352986,TECH-152,False
MNT-100029,VH-8840,2023-05-01,Corrective,1067.3829658368359,10.21552611368584,Electrical,150975,TECH-104,True
MNT-100030,VH-9948,2024-09-14,Preventive,396.6059502529687,3.893495120731539,Transmission,90485,TECH-120,True
MNT-100031,VH-5203,2023-11-14,Corrective,873.7550705851697,7.824690397560315,Engine,88667,TECH-177,True
