date,region,service_type,shipment_volume,total_weight,total_revenue,fleet_vehicles_available,warehouse_capacity_used,labor_available,weather_impact,competitor_activity
2023-09-22,Southwest,Dedicated Contract Carriage,141,144904.1483447454,35877.42912559576,65,56.1079531307742,110,None,High
2024-08-24,Northeast,Fleet Maintenance,45,79442.76678180564,49915.60415945485,49,61.36031695290944,122,None,Normal
2024-12-23,Southwest,Dedicated Contract Carriage,203,339720.7784976502,60232.46835604207,34,79.89625231797797,64,Moderate,Normal
2023-10-28,Southwest,Dedicated Contract Carriage,68,158978.65958637442,23783.651185377264,63,78.64707578157729,188,Minor,Normal
2023-07-25,West,Dedicated Contract Carriage,205,383751.8902480574,87221.6119226187,26,76.0012017983466,154,Minor,Normal
2023-01-04,Northeast,Fleet Maintenance,150,396007.0659104204,113122.33626699331,90,65.12251070881014,183,None,Normal
2024-02-08,Midwest,Supply Chain Solutions,211,403326.7027649327,87609.26840426266,87,64.83973990621011,187,Moderate,Normal
2024-06-24,West,Freight Management,248,270473.8262538798,123192.01518631185,64,63.263665403870995,145,None,Normal
2024-05-17,Northwest,Transportation Management,186,499294.03469225136,161583.63679320802,56,68.61566913635376,69,None,Normal
2023-04-27,Northeast,Distribution Center Management,235,628268.0232179866,76619.35722015279,65,72.50456480900819,56,None,High
2023-10-09,Southeast,Fleet Maintenance,120,276415.06281603506,42182.80036467317,52,79.14208170282336,160,Minor,Normal
2023-07-30,Midwest,Transportation Management,79,109673.02275073792,43897.043470998964,43,92.33465284279588,118,None,Normal
2023-09-01,Northwest,Fleet Maintenance,90,190976.6574367421,20002.83240725792,70,80.35411724132834,95,None,Low
2023-11-18,Northeast,Dedicated Contract Carriage,57,39244.71818254733,19925.08952241102,90,73.28972001459,99,None,Low
2023-12-26,Southeast,Freight Management,167,376192.3538997178,102873.8078031851,33,74.9878781164887,118,None,Low
2024-06-20,Northwest,Distribution Center Management,211,637521.1936571465,63200.03378777223,30,89.73726896089755,104,Minor,Normal
2024-03-24,Southeast,Fleet Maintenance,120,310210.61056539416,53596.93163298822,75,56.767404273651934,180,Minor,Normal
2024-02-03,West,Transportation Management,63,147148.9752531475,47815.670788772666,43,37.165102755680486,75,None,Normal
2023-12-09,Northwest,Dedicated Contract Carriage,12,31366.396470340354,4848.647950283821,29,88.00348409438833,105,None,Normal
2024-03-06,Northeast,Freight Management,233,481852.5271181497,156006.0944986905,40,80.15174937063738,125,None,Normal
2024-11-28,Southeast,Dedicated Contract Carriage,133,207821.7250020786,71378.6788386342,36,58.68172710848941,68,Severe,Low
2023-06-05,Southwest,Fleet Maintenance,203,552172.4912050004,139613.41869592667,37,40.410118796355086,58,None,Normal
