lead_id,company_name,industry,company_size,region,estimated_annual_revenue,current_logistics_provider,services_interested,lead_source,engagement_score,days_in_pipeline,num_interactions,decision_maker_contact,budget_confirmed,converted,contract_value_if_converted
LEAD-20000,Prospect_0,Healthcare,Medium,Southwest,11487947.611884672,Competitor B,Dedicated Contract Carriage,Referral,58.319409712764966,21.25986225254914,8,False,False,False,0.0
LEAD-20001,Prospect_1,Retail,Small,Midwest,364413.1978307979,Competitor A,"Fleet Maintenance,Supply Chain Solutions,Freight Management",Website,30.697161294163433,14.702826311313016,7,True,True,False,0.0
LEAD-20002,Prospect_2,E-commerce,Small,Northeast,1653930.3655847723,Competitor B,"Supply Chain Solutions,Transportation Management,Fleet Maintenance",Website,34.90724271430093,48.59225286146599,3,False,True,False,0.0
LEAD-20003,Prospect_3,Manufacturing,Medium,Northwest,4992600.817071234,Multiple,"Supply Chain Solutions,Distribution Center Management",Referral,27.027403982127584,209.09567336598326,8,True,False,False,0.0
LEAD-20004,Prospect_4,Automotive,Large,West,155620973.75071403,None,"Supply Chain Solutions,Fleet Maintenance",Trade Show,51.56045799262746,20.316554500077828,5,True,True,False,0.0
LEAD-20005,Prospect_5,E-commerce,Medium,West,9489176.916813444,None,Distribution Center Management,Marketing Campaign,36.82430334913853,59.376273737274275,5,False,True,False,0.0
LEAD-20006,Prospect_6,Technology,Medium,Northwest,4682882.262650544,Competitor A,Fleet Maintenance,Referral,42.6244956606766,9.38155531889401,7,True,False,True,49792.55053750963
LEAD-20007,Prospect_7,Automotive,Medium,Southeast,21375576.657177567,None,"Dedicated Contract Carriage,Freight Management",Cold Call,31.651214122194705,7.213350645857068,7,False,False,False,0.0
LEAD-20008,Prospect_8,Healthcare,Medium,Southwest,11946088.148808962,Competitor B,"Fleet Maintenance,Freight Management,Transportation Management",Referral,56.978376644567575,54.23966006747612,8,False,False,False,0.0
LEAD-20009,Prospect_9,Food & Beverage,Enterprise,Southwest,603381238.0735145,None,"Fleet Maintenance,Freight Management",Marketing Campaign,40.910417591440606,62.28775266442156,1,False,False,False,0.0
LEAD-20010,Prospect_10,Consumer Goods,Enterprise,West,282724020.14877445,Competitor B,Dedicated Contract Carriage,Cold Call,42.2652440799602,44.53824562236429,2,True,True,False,0.0
LEAD-20011,Prospect_11,Retail,Large,Northwest,43489264.64655099,Multiple,"Freight Management,Transportation Management",Cold Call,17.02540149617859,5.663188367506375,7,False,True,False,0.0
LEAD-20012,Prospect_12,Consumer Goods,Enterprise,Midwest,146236449.0095448,None,"Supply Chain Solutions,Fleet Maintenance",Trade Show,40.61686854591023,4.760528243355487,5,False,False,True,1206184.0409644563
LEAD-20013,Prospect_13,E-commerce,Medium,West,16113409.61327366,None,"Supply Chain Solutions,Dedicated Contract Carriage,Transportation Management",Referral,62.15881252222943,32.43329895320248,1,True,False,True,240663.69375832673
LEAD-20014,Prospect_14,Automotive,Small,West,540873.3088857663,None,"Freight Management,Fleet Maintenance",Trade Show,32.78266255784124,2.810797333812993,2,False,True,False,0.0
LEAD-20015,Prospect_15,Automotive,Small,West,2016000.6536804107,Competitor A,"Supply Chain Solutions,Transportation Management,Dedicated Contract Carriage",Marketing Campaign,29.98555262304307,48.88781592778492,9,True,False,True,23787.424659242657
LEAD-20016,Prospect_16,Healthcare,Small,Northeast,9764767.333747562,Multiple,Distribution Center Management,Cold Call,49.701947313784615,19.83987947657446,7,False,False,False,0.0
LEAD-20017,Prospect_17,Retail,Small,Southeast,7638413.204665023,Competitor A,Distribution Center Management,Cold Call,60.06326276787613,54.47930951902338,6,False,True,False,0.0
LEAD-20018,Prospect_18,Technology,Small,Southeast,816009.4769858075,In-house,"Freight Management,Transportation Management,Distribution Center Management",Trade Show,70.09621775894767,61.251827160224884,4,False,False,False,0.0
LEAD-20019,Prospect_19,Consumer Goods,Enterprise,Southwest,847067615.1788576,Competitor A,Supply Chain Solutions,Website,29.512287558044264,47.56522871509246,8,True,False,False,0.0
LEAD-20020,Prospect_20,Automotive,Small,Northeast,1933008.7408692585,Competitor A,Distribution Center Management,Cold Call,37.75669378170908,30.16655481086892,7,False,True,False,0.0
LEAD-20021,Prospect_21,Technology,Medium,Midwest,12109970.206506494,In-house,"Dedicated Contract Carriage,Freight Management,Supply Chain Solutions",Cold Call,21.023577844113305,46.7870949703222,2,False,True,True,157633.22369024612
LEAD-20022,Prospect_22,Food & Beverage,Large,Northwest,203585326.678809,Competitor B,Transportation Management,Referral,11.173330571943303,20.758549561945088,4,True,True,False,0.0
LEAD-20023,Prospect_23,Healthcare,Large,West,43455202.50427794,Competitor A,Distribution Center Management,Referral,47.16944580209014,26.533737474594464,5,False,True,False,0.0
LEAD-20024,Prospect_24,Automotive,Medium,Northwest,14828262.84548682,In-house,"Distribution Center Management,Freight Management",Website,10.383138186902029,19.0213168750976,4,False,False,True,86106.93666067267
