warehouse_id,date,region,throughput_units,labor_hours,inventory_accuracy,order_fill_rate,dock_utilization,cost_per_unit
WH-NO-1,2023-03-01,Northeast,6363,236.0509449243484,95.8743154476673,70.28307278796949,75.51869595036483,3.8745005939429866
WH-SO-5,2024-09-27,Southeast,1827,194.21716480438906,94.29034430669543,90.53395432784428,49.98377773488667,3.512930305514629
WH-SO-2,2024-06-20,Southeast,5475,221.75523575357013,97.7141720380533,91.94151760666574,76.19322170197984,4.33923618373131
WH-MI-5,2024-11-01,Midwest,3905,273.1697002591677,96.68846961116309,86.8316841256867,75.57557305259192,2.307693779392774
WH-NO-5,2024-10-15,Northeast,3187,156.45838854230038,98.76688050673566,90.67978136909758,79.4943151194947,2.1500751791472776
WH-MI-2,2024-05-27,Midwest,5224,198.26686898758652,98.50156707821552,88.569781135201,61.317993531249805,2.478336478128574
WH-MI-3,2024-03-06,Midwest,10215,214.30908814472812,99.0661973933099,80.20026135782025,54.87408695656744,4.268228898214993
WH-SO-2,2024-03-17,Southeast,6201,236.1202610291154,90.10697618471555,91.84317270397219,57.50290129926127,2.5720053599964796
WH-NO-4,2024-08-08,Northeast,3151,287.6875631692614,96.71402025391687,82.7696040616153,51.41398535185478,2.849026383952736
WH-SO-3,2024-09-25,Southeast,2963,261.65710355681745,96.37932070075637,86.69645715761435,81.21053942876502,3.7834572130079827
WH-WE-2,2023-07-08,West,6408,149.8265955776614,86.11363816469712,94.5975939198623,78.571426197019,3.6177622179110234
WH-NO-4,2024-12-25,Northeast,7625,104.76291630470662,92.8479612773417,89.7352992929433,80.31357239682768,1.7680960681561566
WH-NO-3,2023-03-24,Northeast,9462,291.7943456883268,93.57286507570784,88.21088569550712,84.54274764250795,3.2438627489175387
WH-SO-4,2023-06-27,Southeast,5408,245.49787976302093,95.62675624905064,95.98767291218795,49.70796304272576,3.15287205193547
WH-SO-2,2023-11-05,Southeast,4617,176.36340290773586,95.42858839462697,52.65012352334271,83.58484900268101,2.4411674682168085
WH-NO-2,2023-12-14,Northeast,5466,245.6224284789844,95.51949321516497,77.44142775086743,75.78461475073011,3.3241512143773697
WH-WE-4,2023-08-06,West,2027,205.42127777592435,98.35560437435159,94.97512996962449,61.61394720024123,2.223937170609094
WH-WE-3,2024-09-26,West,4110,173.20752783087087,93.10158549730193,86.03414654925523,77.09354951118877,1.7016388818027504
WH-SO-4,2023-12-07,Southeast,3901,231.926270893957,92.63187245997271,83.97028734059666,85.11356283677318,3.9416172807165095
WH-NO-4,2023-01-26,Northeast,6948,209.56388805941683,94.42141558334572,95.67821222087292,54.239877979630634,1.6852979305321345
WH-SO-1,2024-08-06,Southeast,2700,207.61860565539664,98.13693589737146,93.60596251424947,71.33040320355677,3.5118947316052473
WH-WE-4,2023-11-23,West,3945,193.55836386536,97.08071690396757,75.60096855267632,46.389479713046015,2.3638444336479347
WH-NO-2,2023-05-11,Northeast,8308,173.4644393225097,89.28508156835345,99.44945357561197,65.24604590694457,3.7195250045590216
WH-NO-4,2024-10-14,Northeast,2388,258.63236100138033,97.07246767036818,86.13035806829545,77.50687189267231,2.499724659516089
WH-MI-2,2023-03-23,Midwest,5104,210.45753677065494,85.92873718264961,94.06669497004593,67.63197873893007,3.4871120077289275
WH-MI-3,2024-05-20,Midwest,1021,166.93022238666796,97.8076731843208,81.01812665831999,81.07219347806878,4.397432177468064
WH-WE-2,2023-09-08,West,3859,154.54912895800885,81.57894481943865,84.06754601578226,62.4197418786011,4.393949112118541
WH-MI-5,2024-07-27,Midwest,4511,220.35074276127713,94.36893980013431,91.95589762266306,76.4146987455883,3.297620931786307
WH-NO-5,2023-05-13,Northeast,3361,241.14566348617998,99.67905470067336,87.77583333228898,66.14219010639192,2.9019198274774003
WH-NO-2,2023-12-17,Northeast,6058,119.3527146202551,97.98277683445492,95.57322041250532,73.46011970394174,3.188461116058522
WH-NO-2,2023-03-06,Northeast,4982,140.54406863532918,98.10348789694697,83.7702874907554,41.87586041929616,2.3386592465371057
WH-NO-4,2023-07-19,Northeast,5389,236.71875874879865,96.83831784843628,92.46802183433162,75.95522066246583,3.4874559303736454
WH-NO-1,2024-10-15,Northeast,2064,152.9103835334875,99.34872312032049,84.09911637889854,86.08512805742065,3.894909433936167
WH-SO-4,2023-06-24,Southeast,5167,203.50970708533274,86.88689612889802,97.26381557228568,82.7335780473171,4.1376464723661535
WH-SO-5,2023-05-15,Southeast,6364,249.2676111513372,91.30641566840102,74.83638241400986,79.66390516482267,3.7640949610844348
WH-NO-5,2024-12-03,Northeast,3143,159.74989089810896,98.15711953913858,93.14688413229297,69.96579976448058,3.7714823783637716
WH-WE-4,2024-05-09,West,8139,118.22757944432001,98.54351787067073,93.19558398352858,85.23242685241323,3.361714286572991
WH-SO-2,2024-05-02,Southeast,6713,111.85335140837871,96.77841187885232,90.06947901217156,67.54870838326296,3.861619557710129
WH-MI-1,2023-07-07,Midwest,6587,230.18500185113888,87.63796629482744,92.39345146617435,51.43597068263407,1.5242287981573766
WH-WE-2,2024-06-23,West,2992,251.66010873179468,99.98125100006806,90.90350870139984,67.1783285157809,2.3552486046927843
WH-NO-1,2023-10-15,Northeast,2194,193.10742922156865,99.39222424957138,91.38832314977516,63.61181041639681,3.4653401762251854
WH-WE-2,2024-05-15,West,3930,112.8220268325409,88.45802543526074,84.42090925993195,49.170815705992545,1.5110685250742408
WH-SO-2,2023-06-30,Southeast,5369,224.7214624022523,84.3524426818786,82.08580139127315,77.36707315913016,3.5501167424679916
WH-SO-5,2023-07-09,Southeast,3188,272.7275993704882,97.10847517535814,74.08749728182929,90.99622553811305,3.973529377451608
WH-MI-4,2023-02-08,Midwest,3763,255.03762811357294,94.9472461579766,98.59787272402488,74.28509209575833,3.62014950443688
WH-SO-3,2024-12-02,Southeast,4013,236.05726133715254,92.96601587950612,86.89121852630684,45.551772235691416,3.1592627987459325
WH-SO-4,2023-05-13,Southeast,5396,233.12632190837513,95.99741345673041,91.5374134144252,41.796421577363546,3.6071813135948645
WH-SO-4,2023-02-01,Southeast,3087,170.68554796291025,98.02949730735688,89.16840840214523,66.72940016649129,1.6094033240014656
WH-SO-2,2023-03-29,Southeast,3203,209.03637539307078,96.29876200140427,88.4778137580799,38.753541735226236,1.776932413994806
WH-NO-3,2024-12-29,Northeast,5767,241.07517489835726,90.66367650703685,97.02828430028421,77.60664321888807,2.8125262119150554
WH-NO-5,2023-05-31,Northeast,5025,138.00657079627535,97.74496475177129,86.88807533059074,85.6496038715568,3.3183621888635333
WH-NO-5,2023-04-26,Northeast,4823,277.5943505979586,84.61824541163213,91.07226853603456,59.17769861465837,2.7299978462600993
WH-NO-3,2023-09-17,Northeast,4029,158.45055077539098,88.53950889469387,86.62802873244596,35.01302180686885,1.5237115468729803
WH-SO-1,2024-01-15,Southeast,6280,293.3034970410603,84.958409936048,97.05815194135118,82.06555137366675,3.912467049920171
WH-SO-2,2023-03-27,Southeast,7503,180.3113113410915,93.050322752549,78.46553280200375,44.93325544320313,2.425476696880105
WH-WE-3,2024-10-14,West,3072,213.08979874006945,99.71895662532222,91.34547630675073,67.28673001050215,3.029859604684649
WH-SO-2,2024-07-14,Southeast,5314,124.05990619622715,94.65619826846185,96.11861729535742,19.622691625018952,4.392003019233975
WH-NO-5,2023-07-21,Northeast,5674,193.91454048107775,98.8739788964489,82.61310660523114,80.61242619416905,1.987305037983306
WH-SO-5,2024-03-31,Southeast,6917,191.5433837620613,98.91908815948113,93.00759585333459,66.12621326497644,2.5002589275552896
WH-NO-3,2024-06-08,Northeast,7696,195.4462131092596,99.912753215774,94.84504368490701,70.82046860252177,4.140613709459947
WH-MI-1,2024-11-11,Midwest,4566,154.82745033816167,94.60597515870576,85.02690383172643,56.72318987438458,4.478830012637261
WH-SO-2,2023-03-19,Southeast,5533,69.338095859481,99.68240682182054,81.55590940940034,76.21657070497011,1.5582328006027866
WH-MI-5,2023-11-27,Midwest,3570,164.61322910536143,96.49580034150004,96.37992963116412,59.90699158713689,3.6119484756823046
WH-MI-3,2023-02-16,Midwest,3579,213.4616000575346,93.44857903871078,90.77200994932117,87.32252455880516,1.6713434458207868
WH-NO-5,2023-08-13,Northeast,4692,173.46238312784712,93.86295304538858,98.73043038108324,90.10352546342627,2.312860219167626
WH-NO-2,2023-11-23,Northeast,3485,205.86257697572475,94.56048129883227,86.44371627594799,66.90334593649042,1.5948241034087096
WH-WE-3,2024-11-24,West,4015,244.1498800520301,95.2056687234902,81.32522201534113,60.046466759233695,2.1342816646807057
WH-MI-3,2023-01-20,Midwest,8361,175.95787838741796,99.7087822663442,94.40334738247861,34.242071494661594,2.7250806653395045
WH-NO-4,2024-02-19,Northeast,4507,148.57933425807857,89.87839074861513,74.7810294332881,83.10016182232664,2.1842267322161946
WH-SO-1,2024-04-03,Southeast,5994,219.16309435817323,97.77152966718651,92.73626237287283,71.34718391880386,2.8928287563014754
WH-MI-3,2024-12-12,Midwest,6117,269.27220167674045,98.82016170555274,83.23260931627063,45.553317479599734,1.8885412995233155
WH-WE-5,2023-08-15,West,5208,301.3634182487692,94.50551856006929,97.33229180113729,77.22625181584549,1.7549435755907357
WH-WE-4,2024-09-07,West,3626,166.7661235072572,91.24870532544352,97.37507972443271,38.37619685620138,2.3692169133638212
WH-NO-4,2023-10-31,Northeast,4640,261.0951674063499,96.26994187736909,94.67739820046907,72.12536298206543,2.4325674131987562
WH-SO-3,2024-02-17,Southeast,8914,109.54449644538579,99.0784830238371,88.06684137655314,68.3083851530417,3.0632801072790796
WH-MI-4,2024-01-12,Midwest,4295,193.84400575840266,89.06217365544416,92.89047935952782,55.80794225364144,3.6077811405222624
WH-MI-3,2024-05-12,Midwest,4874,175.89601658533226,98.8214117795343,82.90068759761974,82.28247042124484,4.457286595755914
WH-SO-2,2023-07-27,Southeast,2813,238.37452052774464,97.72954805155607,99.3624831042663,39.56523676397822,1.536322122259343
WH-WE-1,2023-03-04,West,7034,186.12255542103327,88.69369830777303,92.73989516182091,90.60266444082822,3.262210631528908
